2022-11-17 13:20:34,868 | kiwoom.py | 14 | DEBUG -> Kiwoom() class start.
2022-11-17 13:25:52,478 | kiwoom.py | 71 | DEBUG -> 사용자정보교환실패
2022-11-17 13:25:52,496 | kiwoom.py | 71 | DEBUG -> 통신연결종료
2022-11-17 13:25:52,515 | kiwoom.py | 71 | DEBUG -> 통신연결종료
2022-11-17 13:38:54,293 | kiwoom.py | 14 | DEBUG -> Kiwoom() class start.
2022-11-17 23:02:19,193 | kiwoom.py | 14 | DEBUG -> Kiwoom() class start.
2022-11-17 23:02:34,869 | kiwoom.py | 71 | DEBUG -> 사용자정보교환실패
2022-11-17 23:02:34,876 | kiwoom.py | 71 | DEBUG -> 통신연결종료
2022-11-17 23:02:34,901 | kiwoom.py | 71 | DEBUG -> 통신연결종료
2022-11-17 23:29:36,895 | kiwoom.py | 14 | DEBUG -> Kiwoom() class start.
2022-11-17 23:30:18,881 | kiwoom.py | 71 | DEBUG -> 사용자정보교환실패
2022-11-17 23:30:18,891 | kiwoom.py | 71 | DEBUG -> 통신연결종료
2022-11-17 23:30:18,916 | kiwoom.py | 71 | DEBUG -> 통신연결종료
2022-11-17 23:32:35,993 | kiwoom.py | 14 | DEBUG -> Kiwoom() class start.
2022-11-17 23:33:02,102 | kiwoom.py | 71 | DEBUG -> 사용자정보교환실패
2022-11-17 23:33:02,112 | kiwoom.py | 71 | DEBUG -> 통신연결종료
2022-11-17 23:33:02,139 | kiwoom.py | 71 | DEBUG -> 통신연결종료
2022-11-17 23:33:25,196 | kiwoom.py | 14 | DEBUG -> Kiwoom() class start.
2022-11-17 23:33:39,308 | kiwoom.py | 71 | DEBUG -> 사용자정보교환실패
2022-11-17 23:33:39,316 | kiwoom.py | 71 | DEBUG -> 통신연결종료
2022-11-17 23:33:39,346 | kiwoom.py | 71 | DEBUG -> 통신연결종료
